gene_id	gameto_4	gameto_5	sporo_2	sporo_3	sporo_4
gene:AT1G72190	669	450	336	333	389
gene:AT1G72200	6	154	12	12	10
gene:AT1G72210	0	1	110	97	125
gene:AT1G72220	0	0	13	18	6
gene:AT1G72230	2	3	112	184	136
gene:AT1G72240	0	0	71	25	50
gene:AT1G72250	2421	331	136	331	369
gene:AT1G72260	0	0	2	10	1
gene:AT1G72270	693	496	4	10	5
gene:AT1G72275	86	11	80	115	148
gene:AT1G72280	1704	1481	909	535	629
gene:AT1G72290	0	0	1	1	0
gene:AT1G72300	504	224	562	584	527
gene:AT1G72310	1	10	275	365	386
gene:AT1G72320	1558	333	1031	1300	1414
gene:AT1G72330	17	8	868	649	774
gene:AT1G72340	6	9	808	997	1071
gene:AT1G72350	0	0	0	0	0
gene:AT1G72360	1	1	156	142	148
gene:AT1G72370	1847	1024	7238	10062	11378
gene:AT1G72390	368	472	1361	1469	1504
gene:AT1G72410	0	0	2041	2187	2360
gene:AT1G72416	154	0	1058	706	716
gene:AT1G72420	290	807	255	323	338
gene:AT1G72430	0	79	543	616	600
gene:AT1G72440	1196	2350	1827	2028	2151
gene:AT1G72450	0	0	4654	3844	3156
gene:AT1G72460	0	0	3	2	1
gene:AT1G72470	812	299	279	317	299
gene:AT1G72480	698	1263	1096	1085	1179
gene:AT1G72490	0	0	0	2	2
gene:AT1G72500	0	0	1209	1259	1221
gene:AT1G72510	353	290	466	450	432
gene:AT1G72520	2	204	11631	1564	983
gene:AT1G72530	15	20	82	74	87
gene:AT1G72540	177	0	38	90	77
gene:AT1G72545	166	0	17	35	40
gene:AT1G72550	2875	1963	1825	2458	2687
gene:AT1G72560	1825	981	939	1082	999
gene:AT1G72570	0	0	3	3	1
gene:AT1G72580	0	0	1	0	0
gene:AT1G72590	24	5	0	0	1
gene:AT1G72600	32	38	45438	37401	42953
gene:AT1G72610	28	4	45363	37299	42849
gene:AT1G72620	0	0	11	8	11
gene:AT1G72630	1	11	514	574	612
gene:AT1G72640	540	117	1586	2125	2200
gene:AT1G72645	0	0	515	557	560
gene:AT1G72650	1912	2381	949	1149	1181
gene:AT1G72660	705	54	15	21	28
gene:AT1G72670	51	1	43	122	158
gene:AT1G72680	472	415	672	781	798
gene:AT1G72690	28	0	59	67	66
gene:AT1G72700	3200	2986	1849	1263	1327
gene:AT1G72710	1646	2259	5004	5007	5194
gene:AT1G72720	0	0	13	26	16
gene:AT1G72730	178	126	262	451	543
gene:AT1G72740	657	738	666	695	692
gene:AT1G72750	385	109	1323	1370	1519
gene:AT1G72755	53	0	845	893	952
gene:AT1G72760	43	32	22	5	12
gene:AT1G72770	59	356	508	910	887
gene:AT1G72790	198	217	441	258	268
gene:AT1G72800	122	28	105	79	57
gene:AT1G72810	419	57	223	340	323
gene:AT1G72820	1	0	732	882	912
gene:AT1G72830	1	0	201	239	223
gene:AT1G72840	58	58	278	213	244
gene:AT1G72850	0	85	105	100	100
gene:AT1G72860	139	311	143	195	193
gene:AT1G72870	98	86	14	20	21
gene:AT1G72880	150	156	1175	1189	1287
gene:AT1G72890	0	0	275	210	199
gene:AT1G72900	1	0	2657	2050	1373
gene:AT1G72910	0	0	4942	2987	2919
gene:AT1G72920	0	0	1110	982	756
gene:AT1G72930	0	0	7898	5692	6146
gene:AT1G72940	0	0	2117	1741	1353
gene:AT1G72950	78	36	309	68	122
gene:AT1G72960	48	244	28	16	21
gene:AT1G72970	381	57	1261	2465	2590
gene:AT1G72980	64	0	0	1	0
gene:AT1G72990	403	482	335	405	413
gene:AT1G73000	0	0	1	0	0
gene:AT1G73010	184	530	23	21	5
gene:AT1G73020	4	215	708	673	689
gene:AT1G73030	68	585	3145	2446	2515
gene:AT1G73040	0	0	35	26	18
gene:AT1G73050	0	243	2	3	4
gene:AT1G73060	18	213	3763	4811	4732
gene:AT1G73065	0	0	7	5	5
gene:AT1G73066	0	0	82	23	30
gene:AT1G73080	1131	482	5494	2065	1919
gene:AT1G73090	11	89	418	564	590
gene:AT1G73100	1	0	485	626	710
gene:AT1G73110	24	87	1537	2063	2041
gene:AT1G73120	0	0	0	1	0
gene:AT1G73130	212	30	267	315	365
gene:AT1G73140	0	0	19	31	35
gene:AT1G73150	461	431	181	171	187
gene:AT1G73160	0	0	0	1	0
gene:AT1G73165	0	0	0	0	0
gene:AT1G73170	658	246	1506	1722	1782
gene:AT1G73177	392	35	114	159	181
gene:AT1G73180	418	1442	1047	1111	1249
gene:AT1G73190	41	43	27	22	15
gene:AT1G73200	1939	1087	1799	1342	1437
gene:AT1G73210	807	746	71	104	112
gene:AT1G73220	0	0	35	34	34
gene:AT1G73230	130	333	3531	4916	5510
gene:AT1G73240	86	402	282	322	380
gene:AT1G73250	2874	214	435	411	428
gene:AT1G73260	0	26	17	131	144
gene:AT1G73270	8	2	4	6	6
gene:AT1G73280	12	4	1	2	8
gene:AT1G73290	9	2	8	11	9
gene:AT1G73300	14	12	8	16	8
gene:AT1G73310	683	374	286	403	420
gene:AT1G73320	424	125	167	235	254
gene:AT1G73325	0	0	14	38	34
gene:AT1G73330	11	0	10	2	3
gene:AT1G73340	13	1	3	7	2
gene:AT1G73350	179	881	596	822	881
gene:AT1G73360	27	119	32	52	64
gene:AT1G73370	82	49	207	447	500
gene:AT1G73380	956	127	438	406	464
gene:AT1G73390	166	0	536	808	881
gene:AT1G73400	138	427	126	181	189
gene:AT1G73410	0	0	1	7	4
gene:AT1G73430	4676	1675	1561	1653	1854
gene:AT1G73440	666	936	148	176	184
gene:AT1G73450	397	112	529	598	598
gene:AT1G73460	941	60	1277	1311	1448
gene:AT1G73470	888	532	1361	1358	1416
gene:AT1G73480	29	33	3665	2148	2390
gene:AT1G73490	892	337	1405	2080	2294
gene:AT1G73500	1	45	1663	1173	975
gene:AT1G73510	0	0	114	2	4
gene:AT1G73530	143	1	1035	1297	1484
gene:AT1G73540	0	19	9446	976	2463
gene:AT1G73550	589	110	67	51	70
gene:AT1G73560	168	17	0	0	0
gene:AT1G73570	792	552	214	229	227
gene:AT1G73580	0	3	2	5	1
gene:AT1G73590	4	1	121	262	235
gene:AT1G73600	853	31	13475	11927	10587
gene:AT1G73603	9318	7718	0	0	0
gene:AT1G73607	11556	7181	0	0	0
gene:AT1G73610	2720	2355	0	1	0
gene:AT1G73620	0	2	34	59	94
gene:AT1G73630	1	1	221	185	151
gene:AT1G73640	2	9	33	65	53
gene:AT1G73650	205	131	979	1085	1271
gene:AT1G73655	260	302	4703	4629	5157
gene:AT1G73660	832	41	1830	2212	2281
gene:AT1G73670	102	44	1326	1178	1126
gene:AT1G73680	6574	6595	729	699	701
gene:AT1G73690	1275	858	23	32	59
gene:AT1G73700	1048	433	13	31	21
gene:AT1G73710	803	37	646	693	793
gene:AT1G73720	1290	595	716	843	989
gene:AT1G73730	447	524	686	789	811
gene:AT1G73740	103	103	598	478	493
gene:AT1G73750	71	3	935	770	803
gene:AT1G73760	2	0	878	1015	1120
gene:AT1G73770	39	195	85	109	109
gene:AT1G73780	68	0	1	1	0
gene:AT1G73790	19	57	176	154	185
gene:AT1G73805	19	57	4229	2553	2117
gene:AT1G73810	95	28	460	315	296
gene:AT1G73820	261	108	323	341	395
gene:AT1G73830	0	0	507	412	374
gene:AT1G73840	774	1328	771	789	854
gene:AT1G73850	1	0	132	226	267
gene:AT1G73860	5	0	5	10	10
gene:AT1G73870	1	1	408	506	426
gene:AT1G73875	423	0	282	284	374
gene:AT1G73880	881	163	99	93	81
gene:AT1G73885	994	20	4682	5591	5922
gene:AT1G73890	0	0	126	50	48
gene:AT1G73910	55	0	10	26	27
gene:AT1G73920	176	123	3220	4266	4656
gene:AT1G73930	784	941	545	833	911
gene:AT1G73940	1265	562	390	605	696
gene:AT1G73950	3	5	443	379	403
gene:AT1G73960	1567	1502	1400	1616	1629
gene:AT1G73965	0	41	7	14	3
gene:AT1G73970	176	626	376	515	529
gene:AT1G73980	3271	1555	1687	1621	1835
gene:AT1G73990	2136	1581	1392	1779	1848
gene:AT1G74000	53	119	6	21	32
gene:AT1G74010	7998	4996	38	36	41
gene:AT1G74020	75	181	239	239	268
gene:AT1G74030	657	278	276	507	519
gene:AT1G74035	102	5	58	100	127
gene:AT1G74040	865	498	1821	1892	2005
gene:AT1G74045	0	0	0	1	1
gene:AT1G74050	997	456	4378	6158	6778
gene:AT1G74055	108	0	19	48	46
gene:AT1G74060	459	583	3324	4618	5008
gene:AT1G74070	627	100	840	1106	1211
gene:AT1G74080	2	0	6	52	14
gene:AT1G74088	161	451	90	97	102
gene:AT1G74090	0	2	640	910	784
gene:AT1G74100	201	31	2778	2510	1908
gene:AT1G74110	6	0	0	0	0
gene:AT1G74120	40	903	130	166	194
gene:AT1G74130	0	0	1	3	0
gene:AT1G74140	0	0	4	7	9
gene:AT1G74150	87	50	27	66	58
gene:AT1G74160	765	1	871	1111	1263
gene:AT1G74170	236	1003	756	819	861
gene:AT1G74180	305	280	176	215	253
gene:AT1G74190	26	0	3	2	3
gene:AT1G74200	177	132	71	95	124
gene:AT1G74210	1646	168	767	638	666
gene:AT1G74220	1	0	0	2	1
gene:AT1G74230	2005	1330	1823	1942	2037
gene:AT1G74240	360	308	135	153	181
gene:AT1G74250	2764	949	1132	1032	1187
gene:AT1G74260	2154	2414	2714	3152	3507
gene:AT1G74270	215	145	1394	1852	1933
gene:AT1G74280	209	54	246	157	210
gene:AT1G74290	128	243	91	71	74
gene:AT1G74300	145	429	246	257	282
gene:AT1G74310	7164	1481	358	226	211
gene:AT1G74320	3349	1252	673	880	862
gene:AT1G74330	1966	1554	1268	484	503
gene:AT1G74340	243	79	744	760	772
gene:AT1G74350	0	0	157	133	145
gene:AT1G74360	516	393	1062	668	411
gene:AT1G74370	91	3	605	687	825
gene:AT1G74380	2638	1656	2528	1773	1963
gene:AT1G74385	618	429	644	489	539
gene:AT1G74390	25	132	259	344	429
gene:AT1G74400	0	0	38	23	36
gene:AT1G74410	311	295	221	190	206
gene:AT1G74420	0	22	52	77	82
gene:AT1G74430	9	0	634	322	323
gene:AT1G74440	14	15	1444	864	984
gene:AT1G74450	967	643	5749	889	1430
gene:AT1G74458	0	0	56	50	57
gene:AT1G74460	2	1	0	0	2
gene:AT1G74470	3689	5757	39708	47963	46215
gene:AT1G74480	3	0	8	4	10
gene:AT1G74490	0	0	11	22	40
gene:AT1G74500	0	0	1	0	0
gene:AT1G74510	6	1	351	443	426
gene:AT1G74520	0	0	1148	1098	1042
gene:AT1G74530	0	0	494	560	616
gene:AT1G74540	1	4	28	36	26
gene:AT1G74550	1	0	121	154	201
gene:AT1G74560	139	28	1811	2391	2798
gene:AT1G74580	1030	312	160	276	277
gene:AT1G74590	467	591	103	199	158
gene:AT1G74600	46	94	146	137	148
gene:AT1G74620	0	2	0	0	0
gene:AT1G74630	0	0	41	39	54
gene:AT1G74640	6	33	1758	1719	1926
gene:AT1G74650	0	0	113	63	79
gene:AT1G74660	0	0	10	11	7
gene:AT1G74670	0	0	6851	2989	2094
gene:AT1G74675	0	0	792	411	298
gene:AT1G74680	154	0	741	722	745
gene:AT1G74690	3	0	2434	2789	2749
gene:AT1G74700	21	68	128	121	112
gene:AT1G74710	200	1327	2843	1976	1320
gene:AT1G74720	0	3	547	831	892
gene:AT1G74730	256	116	3584	4953	5095
gene:AT1G74740	26	25	488	463	460
gene:AT1G74750	179	23	348	516	497
gene:AT1G74770	3	0	65	102	111
gene:AT1G74780	1052	152	244	282	272
gene:AT1G74790	471	276	919	1152	1273
gene:AT1G74800	1088	329	485	589	625
gene:AT1G74810	15	30	211	320	391
gene:AT1G74820	0	0	0	0	0
gene:AT1G74830	0	0	5	0	5
gene:AT1G74840	1	4	2544	1585	1868
gene:AT1G74850	585	1975	1412	2349	2651
gene:AT1G74860	376	56	240	263	280
gene:AT1G74870	185	727	30	39	37
gene:AT1G74875	0	0	94	131	120
gene:AT1G74880	0	0	2096	2811	2991
gene:AT1G74890	2	0	255	690	758
gene:AT1G74900	227	27	463	516	609
gene:AT1G74910	625	355	4548	4725	5012
gene:AT1G74920	762	390	4078	3843	4084
gene:AT1G74929	0	11	14	9	18
gene:AT1G74930	0	36	1835	130	186
gene:AT1G74940	0	0	806	729	711
gene:AT1G74950	345	507	2250	1774	1862
gene:AT1G74960	1922	1137	4402	5942	6159
gene:AT1G74970	384	122	5282	8518	8887
gene:AT1G74990	0	9	0	0	0
gene:AT1G75000	262	809	313	146	151
gene:AT1G75010	372	663	1126	1171	1230
gene:AT1G75020	0	1	1007	827	765
gene:AT1G75030	38	9	116	207	169
gene:AT1G75040	0	0	3619	3644	4441
gene:AT1G75050	9	0	7	8	2
gene:AT1G75060	2	0	63	92	101
gene:AT1G75080	588	507	925	852	946
gene:AT1G75090	0	0	76	130	109
gene:AT1G75100	150	163	1258	2202	2120
gene:AT1G75110	3	54	52	72	66
gene:AT1G75120	1	5	72	130	164
gene:AT1G75125	84	415	58	90	113
gene:AT1G75130	0	32	598	546	595
gene:AT1G75140	42	90	734	692	801
gene:AT1G75150	1497	1333	213	252	263
gene:AT1G75160	334	14	1	2	1
gene:AT1G75170	0	54	419	527	564
gene:AT1G75180	3994	662	1830	2687	2873
gene:AT1G75190	0	0	409	513	544
gene:AT1G75200	1113	1227	950	1001	1192
gene:AT1G75210	488	672	1542	1972	1993
gene:AT1G75220	0	175	3428	2754	2618
gene:AT1G75230	525	665	1080	381	379
gene:AT1G75240	1	0	115	234	288
gene:AT1G75250	2	1	77	21	22
gene:AT1G75260	38	0	33	65	55
gene:AT1G75270	964	415	338	377	368
gene:AT1G75280	414	297	1221	2044	1932
gene:AT1G75290	38	42	100	107	121
gene:AT1G75300	485	777	236	373	365
gene:AT1G75310	2854	1556	1511	1145	1246
gene:AT1G75330	1171	335	2242	2727	3076
gene:AT1G75335	3	1	58	81	84
gene:AT1G75340	2182	1244	628	772	814
gene:AT1G75350	426	252	7231	10497	11600
gene:AT1G75360	37	1	228	260	332
gene:AT1G75370	2503	813	2775	2493	2876
gene:AT1G75380	9	66	15656	10795	10467
gene:AT1G75390	30	77	21	33	29
gene:AT1G75400	88	16	599	555	689
gene:AT1G75410	64	308	1629	1146	1247
gene:AT1G75420	987	1023	517	572	647
gene:AT1G75430	0	0	1	1	4
gene:AT1G75440	605	1163	613	451	386
gene:AT1G75450	399	393	456	357	266
gene:AT1G75460	0	11	3947	3504	3260
gene:AT1G75470	1	0	2	0	1
gene:AT1G75490	1	0	209	137	126
gene:AT1G75500	129	175	4297	5049	4817
gene:AT1G75510	563	355	869	886	983
gene:AT1G75520	1	0	0	1	9
gene:AT1G75530	244	284	0	1	0
gene:AT1G75540	3	2	912	857	861
gene:AT1G75550	68	57	61	107	131
gene:AT1G75560	405	178	661	862	969
gene:AT1G75580	0	0	16	68	90
gene:AT1G75590	0	150	31	36	40
gene:AT1G75600	118	10	0	1	1
gene:AT1G75620	0	16	23	38	39
gene:AT1G75630	134	340	1173	1143	1170
gene:AT1G75640	78	131	50	149	192
gene:AT1G75660	424	517	2630	2831	3119
gene:AT1G75670	997	402	269	304	358
gene:AT1G75680	187	2	3821	3464	3509
gene:AT1G75690	3	42	4916	6747	6644
gene:AT1G75700	0	0	6	22	18
gene:AT1G75710	0	0	283	411	447
gene:AT1G75717	0	0	0	0	0
gene:AT1G75720	0	0	11	39	35
gene:AT1G75730	28	402	645	770	872
gene:AT1G75750	0	0	6257	762	986
gene:AT1G75760	1	7	455	493	559
gene:AT1G75770	0	0	75	128	137
gene:AT1G75780	158	42	330	632	469
gene:AT1G75785	4	10	159	330	251
gene:AT1G75790	0	0	1	0	0
gene:AT1G75800	60	760	2696	2205	2209
gene:AT1G75810	375	48	111	133	104
gene:AT1G75820	1	820	1651	2173	2206
gene:AT1G75830	0	0	2	0	1
gene:AT1G75840	162	0	1004	1273	1457
gene:AT1G75850	1560	1446	1254	1074	1085
gene:AT1G75860	916	618	1795	1476	1733
gene:AT1G75870	0	0	0	0	0
gene:AT1G75880	0	0	236	288	268
gene:AT1G75890	0	0	23	61	69
gene:AT1G75900	0	0	667	526	605
gene:AT1G75910	0	0	0	3	1
gene:AT1G75920	2	251	3	8	7
gene:AT1G75930	1	0	0	0	0
gene:AT1G75940	0	0	4	2	0
gene:AT1G75945	0	54	315	334	408
gene:AT1G75950	9	177	3543	3717	3860
gene:AT1G75960	12	1	288	316	294
gene:AT1G75980	1008	80	214	271	301
gene:AT1G75990	762	1145	1011	1123	1153
gene:AT1G76010	117	166	2926	3521	3768
gene:AT1G76020	88	24	520	472	496
gene:AT1G76030	2598	2111	5686	4933	5112
gene:AT1G76040	646	347	1321	1245	1167
gene:AT1G76050	1335	117	949	1163	1195
gene:AT1G76060	131	23	208	250	245
gene:AT1G76065	1	2	67	105	111
gene:AT1G76070	5	180	285	163	119
gene:AT1G76080	43	114	3869	5798	5654
gene:AT1G76090	86	32	732	966	954
gene:AT1G76100	128	6	4457	5846	5600
gene:AT1G76110	351	905	1032	1540	1509
gene:AT1G76120	346	200	207	310	330
gene:AT1G76130	126	9	952	379	351
gene:AT1G76140	1196	936	2522	2660	2772
gene:AT1G76150	381	444	1515	1486	1533
gene:AT1G76160	0	4	8446	7164	7231
gene:AT1G76170	547	325	188	261	315
gene:AT1G76180	1028	263	19588	8422	8505
gene:AT1G76185	219	34	163	212	258
gene:AT1G76190	0	0	16	34	37
gene:AT1G76200	1036	1096	1936	2273	2406
gene:AT1G76210	0	0	0	1	0
gene:AT1G76220	116	0	4	5	4
gene:AT1G76230	0	0	1	2	5
gene:AT1G76240	1	0	148	173	184
gene:AT1G76250	2170	4679	16	32	27
gene:AT1G76260	1257	285	370	334	331
gene:AT1G76270	636	690	342	362	384
gene:AT1G76280	1750	447	486	603	703
gene:AT1G76290	112	103	0	0	0
gene:AT1G76300	388	217	425	590	702
gene:AT1G76310	2	0	100	161	225
gene:AT1G76320	2682	1268	468	529	584
gene:AT1G76340	56	57	641	555	613
gene:AT1G76350	458	227	391	440	445
gene:AT1G76360	17	29	1607	995	841
gene:AT1G76370	756	57	1	1	0
gene:AT1G76380	354	717	318	398	394
gene:AT1G76390	39	85	840	930	925
gene:AT1G76400	4553	1245	1731	1919	2052
gene:AT1G76405	48	649	473	661	820
gene:AT1G76410	0	0	167	151	133
gene:AT1G76420	0	0	2	1	3
gene:AT1G76430	51	0	1	1	0
gene:AT1G76440	2	304	182	240	250
gene:AT1G76450	27	201	2971	3621	3823
gene:AT1G76460	322	657	838	893	949
gene:AT1G76465	2	8	103	78	76
gene:AT1G76470	0	35	40	200	32
gene:AT1G76480	44	26	1	7	1
gene:AT1G76490	268	415	8152	6751	6316
gene:AT1G76500	0	0	0	0	2
gene:AT1G76510	2853	1340	442	533	619
gene:AT1G76520	1315	911	1974	2067	1947
gene:AT1G76530	31	26	51	28	20
gene:AT1G76540	564	1770	180	454	434
gene:AT1G76550	4349	1462	648	1019	1020
gene:AT1G76560	47	35	151	164	156
gene:AT1G76570	327	1	262	372	388
gene:AT1G76580	4678	770	1791	1128	1268
gene:AT1G76590	0	72	1379	618	704
gene:AT1G76600	307	78	4239	651	732
gene:AT1G76610	0	0	18	34	23
gene:AT1G76620	0	2	346	486	528
gene:AT1G76630	796	577	1000	1179	1281
gene:AT1G76640	177	417	4	2	4
gene:AT1G76650	106	63	6652	899	952
gene:AT1G76660	69	512	1141	1200	1252
gene:AT1G76670	1619	1333	3281	2702	2773
gene:AT1G76680	370	304	5334	4344	3337
gene:AT1G76690	434	198	436	392	326
gene:AT1G76700	512	19	1642	1111	1131
gene:AT1G76705	189	124	40	25	29
gene:AT1G76710	489	618	447	586	629
gene:AT1G76720	805	606	313	576	513
gene:AT1G76728	0	0	0	0	0
gene:AT1G76730	247	96	1764	1787	2039
gene:AT1G76740	680	447	65	109	166
gene:AT1G76750	164	429	1	0	0
gene:AT1G76760	23	123	27	39	63
gene:AT1G76770	0	0	5	10	19
gene:AT1G76780	324	139	77	96	93
gene:AT1G76790	108	6	273	108	179
gene:AT1G76800	0	0	60	53	48
gene:AT1G76810	5300	4536	4946	5334	5492
gene:AT1G76820	1826	2150	172	225	212
gene:AT1G76830	1	0	0	0	2
gene:AT1G76840	0	4	0	0	0
gene:AT1G76850	3965	2147	3513	3192	3178
gene:AT1G76860	18	7	421	486	611
gene:AT1G76870	344	379	105	120	126
gene:AT1G76880	267	581	922	1637	1678
gene:AT1G76890	0	0	1235	1248	1288
gene:AT1G76900	304	281	1239	1390	1533
gene:AT1G76910	27	5	1	0	0
gene:AT1G76920	103	129	738	591	622
gene:AT1G76930	14	2	507	855	435
gene:AT1G76940	568	288	615	604	614
gene:AT1G76950	389	24	983	1142	1128
gene:AT1G76952	0	0	9	10	6
gene:AT1G76954	0	0	0	0	1
gene:AT1G76955	0	0	97	51	37
gene:AT1G76960	0	0	934	546	618
gene:AT1G76965	0	0	30	5	2
gene:AT1G76970	14	22	1554	1087	1192
gene:AT1G76980	19	183	328	262	267
gene:AT1G76990	163	25	3677	4371	4133
gene:AT1G76994	0	0	0	0	0
gene:AT1G77000	82	461	259	237	290
gene:AT1G77010	0	22	37	36	41
gene:AT1G77020	0	0	186	281	297
gene:AT1G77030	1641	1166	1227	1260	1372
gene:AT1G77060	1	2	1755	1945	2009
gene:AT1G77080	6	20	992	1166	1260
gene:AT1G77090	263	233	1097	1401	1464
gene:AT1G77093	189	369	0	0	0
gene:AT1G77100	0	0	1	0	0
gene:AT1G77110	1	0	72	145	203
gene:AT1G77120	2799	7063	81	79	79
gene:AT1G77122	276	384	492	758	795
gene:AT1G77130	1390	858	1177	914	1018
gene:AT1G77140	264	217	914	783	802
gene:AT1G77145	0	0	37	49	58
gene:AT1G77150	0	1	0	0	1
gene:AT1G77160	0	0	4	4	5
gene:AT1G77170	34	67	150	145	171
gene:AT1G77180	1271	692	2953	3156	3543
gene:AT1G77200	0	0	2	7	5
gene:AT1G77210	492	349	1246	936	1006
gene:AT1G77220	1	589	1015	917	1091
gene:AT1G77230	297	182	263	341	376
gene:AT1G77240	94	0	193	238	285
gene:AT1G77250	354	123	632	592	739
gene:AT1G77260	1190	801	1074	1047	1084
gene:AT1G77270	241	43	211	645	715
gene:AT1G77280	794	1561	224	355	356
gene:AT1G77290	243	410	344	442	500
gene:AT1G77300	2916	2475	2686	2388	2456
gene:AT1G77310	566	946	101	117	134
gene:AT1G77320	457	668	254	298	297
gene:AT1G77330	4	56	25	19	22
gene:AT1G77340	0	0	1	0	1
gene:AT1G77350	382	55	528	606	674
gene:AT1G77360	677	447	81	85	75
gene:AT1G77370	280	26	657	773	752
gene:AT1G77380	0	2	26	22	17
gene:AT1G77390	1748	791	191	132	166
gene:AT1G77400	176	29	81	130	155
gene:AT1G77405	11	7	32	38	57
gene:AT1G77410	0	3	96	166	162
gene:AT1G77420	647	581	508	508	496
gene:AT1G77440	255	313	1039	1173	1297
gene:AT1G77450	188	126	123	108	87
gene:AT1G77460	1219	390	954	1183	1065
gene:AT1G77470	498	369	278	395	446
gene:AT1G77480	1363	388	583	651	649
gene:AT1G77490	252	766	4830	5570	5819
gene:AT1G77500	1400	1295	1213	756	740
gene:AT1G77510	31231	22974	2673	2482	3001
gene:AT1G77520	20	18	7	13	5
gene:AT1G77525	41583	29392	0	0	0
gene:AT1G77530	642	311	1	1	1
gene:AT1G77540	1	2	237	323	339
gene:AT1G77550	4655	5561	764	877	1016
gene:AT1G77570	0	4	37	32	34
gene:AT1G77580	0	95	390	614	648
gene:AT1G77590	3540	1164	1516	1901	1928
gene:AT1G77600	1794	2124	811	908	932
gene:AT1G77610	2600	353	959	1198	1331
gene:AT1G77620	623	494	342	310	333
gene:AT1G77630	0	0	381	512	542
gene:AT1G77640	0	0	278	27	51
gene:AT1G77650	0	0	0	0	0
gene:AT1G77655	0	0	0	0	0
gene:AT1G77660	1	0	217	250	198
gene:AT1G77670	53	0	624	793	924
gene:AT1G77680	53	186	854	1017	1150
gene:AT1G77682	0	0	0	0	0
gene:AT1G77690	2	1	236	355	321
gene:AT1G77700	0	0	50	131	135
gene:AT1G77710	611	315	1473	1472	1648
gene:AT1G77720	19	1	177	264	280
gene:AT1G77730	0	0	1	2	3
gene:AT1G77740	785	920	2038	2049	2063
gene:AT1G77750	50	123	350	503	583
gene:AT1G77760	136	812	8868	20287	24241
gene:AT1G77765	573	185	65	65	75
gene:AT1G77770	463	29	520	565	596
gene:AT1G77780	0	0	0	0	1
gene:AT1G77790	0	0	0	0	1
gene:AT1G77800	541	1117	2070	2321	2480
gene:AT1G77810	202	630	496	518	521
gene:AT1G77815	0	10	1	0	0
gene:AT1G77830	0	0	0	0	0
gene:AT1G77840	1107	1155	1022	1434	1454
gene:AT1G77850	890	290	541	529	597
gene:AT1G77855	41	69	27	22	29
gene:AT1G77860	0	41	7	24	21
gene:AT1G77870	1	6	57	59	59
gene:AT1G77880	1	19	5	10	6
gene:AT1G77885	1	0	31	33	27
gene:AT1G77890	1575	288	542	503	480
gene:AT1G77910	0	0	0	0	0
gene:AT1G77920	0	55	223	229	219
gene:AT1G77930	177	524	1564	1463	1616
gene:AT1G77932	142	62	1	2	2
gene:AT1G77940	1043	884	3250	5118	5826
gene:AT1G77950	9	0	11	9	6
gene:AT1G77960	0	0	15	18	6
gene:AT1G77980	0	0	0	0	0
gene:AT1G77990	0	27	484	626	586
gene:AT1G78000	2238	2568	190	184	186
gene:AT1G78010	376	1262	648	907	939
gene:AT1G78020	0	0	1337	1442	1367
gene:AT1G78030	224	11	132	235	220
gene:AT1G78040	309	260	11450	11476	12279
gene:AT1G78050	392	218	165	276	356
gene:AT1G78060	1411	107	719	740	657
gene:AT1G78070	3883	1601	3054	1529	1795
gene:AT1G78080	32	43	2959	3622	4044
gene:AT1G78090	1	2	78	72	77
gene:AT1G78100	161	109	316	352	355
gene:AT1G78110	0	1	211	315	286
gene:AT1G78120	0	0	61	69	70
gene:AT1G78130	690	902	349	377	373
gene:AT1G78140	136	55	1222	1119	1175
gene:AT1G78150	93	246	1476	1857	1895
gene:AT1G78160	932	325	1	1	0
gene:AT1G78170	0	0	311	659	597
gene:AT1G78172	1	0	23	22	28
gene:AT1G78180	784	5	414	659	701
gene:AT1G78190	64	0	81	71	79
gene:AT1G78200	82	116	809	894	1006
gene:AT1G78210	1	0	842	969	919
gene:AT1G78220	2	0	1	0	2
gene:AT1G78230	318	321	814	857	912
gene:AT1G78240	2715	607	3059	3209	3495
gene:AT1G78260	1	24	149	315	380
gene:AT1G78270	432	601	766	733	683
gene:AT1G78280	2548	987	2968	1288	1276
gene:AT1G78290	1	1	412	539	578
gene:AT1G78300	1047	991	3314	3565	3553
gene:AT1G78310	166	286	215	165	140
gene:AT1G78320	3	0	42	63	72
gene:AT1G78340	49	189	6	11	7
gene:AT1G78360	2	27	1	1	5
gene:AT1G78370	0	0	3638	6192	5371
gene:AT1G78380	4571	4916	7286	9755	9187
gene:AT1G78390	764	60	1	3	1
gene:AT1G78400	267	250	0	0	1
gene:AT1G78410	0	0	573	593	331
gene:AT1G78420	143	304	993	1130	1105
gene:AT1G78430	0	0	38	102	81
gene:AT1G78440	0	0	53	96	64
gene:AT1G78450	0	0	291	155	98
gene:AT1G78460	0	0	3332	1881	1567
gene:AT1G78470	0	0	0	0	0
gene:AT1G78476	0	1	104	122	140
gene:AT1G78480	0	1	54	81	87
gene:AT1G78490	1	0	712	900	730
gene:AT1G78500	1210	208	0	2	2
gene:AT1G78510	821	749	811	1032	1153
gene:AT1G78520	11	97	0	5	1
gene:AT1G78530	0	0	155	327	329
gene:AT1G78540	1542	464	386	445	484
gene:AT1G78550	30	14	356	253	297
gene:AT1G78560	147	213	990	1199	1273
gene:AT1G78570	1415	1457	3961	4087	4225
gene:AT1G78580	4438	2286	1668	3123	3088
gene:AT1G78590	262	61	451	412	528
