TRINITY_DN0_c0_g1	GO:0004674,GO:0004709,GO:0005524,GO:0005737,GO:0007346,GO:0010098,GO:0010103,GO:0010229,GO:0023014,GO:0031098,GO:0032147,GO:0040008
TRINITY_DN1103_c0_g1	GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0007275,GO:0008237,GO:0009507,GO:0009534,GO:0009535,GO:0009579,GO:0009735,GO:0009941,GO:0010027,GO:0010205,GO:0010206,GO:0010304,GO:0016020,GO:0016021,GO:0030163,GO:0031977,GO:0046872,GO:0072593
TRINITY_DN1103_c1_g1	GO:0005773,GO:0005886,GO:0006833,GO:0009414,GO:0009506,GO:0015250,GO:0015254,GO:0015793,GO:0016020,GO:0016021,GO:0034220
TRINITY_DN1103_c1_g2	GO:0005773,GO:0005886,GO:0006833,GO:0009414,GO:0009506,GO:0015250,GO:0015254,GO:0015793,GO:0016020,GO:0016021,GO:0034220
TRINITY_DN1103_c2_g1	GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0007275,GO:0008237,GO:0008270,GO:0009507,GO:0009534,GO:0009535,GO:0009579,GO:0009941,GO:0010027,GO:0010205,GO:0010206,GO:0010304,GO:0016020,GO:0016021
TRINITY_DN11040_c0_g1	GO:0016020
TRINITY_DN11041_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0043565,GO:0045893
TRINITY_DN11042_c0_g1	GO:0005635,GO:0005737,GO:0005829,GO:0006606,GO:0006610,GO:0008536,GO:0008565,GO:0016020,GO:0042254,GO:0042393,GO:0042991,GO:0050821
TRINITY_DN11043_c0_g1	GO:0005737,GO:0005829,GO:0006099,GO:0008964,GO:0015977,GO:0015979,GO:0016036,GO:0048046,GO:0048366,GO:0051262
TRINITY_DN11044_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN11044_c2_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN11045_c0_g2	GO:0005737,GO:0008270
TRINITY_DN11047_c0_g1	GO:0005524,GO:0005886,GO:0009611,GO:0009651,GO:0009737,GO:0009897,GO:0010222,GO:0010588,GO:0015245,GO:0015908,GO:0016021,GO:0042626,GO:0042803,GO:0055085,GO:0080051
TRINITY_DN11048_c0_g1	GO:0000287,GO:0004427,GO:0005634,GO:0005737,GO:0005829,GO:0006796,GO:0019915,GO:0046686,GO:0071344
TRINITY_DN11049_c0_g1	GO:0001522,GO:0003723,GO:0005739,GO:0009982
TRINITY_DN11053_c0_g1	GO:0003723,GO:0006397,GO:0008270,GO:0009507,GO:1900865
TRINITY_DN11057_c0_g1	GO:0000578,GO:0005770,GO:0005773,GO:0005774,GO:0005783,GO:0005794,GO:0005802,GO:0006623,GO:0006897,GO:0007032,GO:0007033,GO:0009638,GO:0009660,GO:0009793,GO:0009959,GO:0031902,GO:0042594,GO:0043231,GO:0045324,GO:0051301
TRINITY_DN11058_c0_g1	GO:0003723,GO:0005634,GO:0006351,GO:0008022,GO:0008420,GO:0009651,GO:0009788,GO:0016591,GO:0046872,GO:0070940
TRINITY_DN11059_c0_g1	GO:0003755,GO:0005737,GO:0006457,GO:0042277
TRINITY_DN11061_c0_g1	GO:0005576,GO:0005618,GO:0006949,GO:0009664,GO:0016020
TRINITY_DN11063_c0_g1	GO:0001653,GO:0004383,GO:0004674,GO:0005524,GO:0005886,GO:0006182,GO:0006955,GO:0007165,GO:0009506,GO:0009611,GO:0009753,GO:0016021,GO:0045087
TRINITY_DN11063_c0_g2	GO:0004674,GO:0005524,GO:0005886,GO:0009553,GO:0009793,GO:0016021,GO:0016032,GO:0090558
TRINITY_DN11063_c1_g1	GO:0004674,GO:0005496,GO:0005524,GO:0005886,GO:0006952,GO:0016021
TRINITY_DN11065_c0_g1	GO:0004674,GO:0005524,GO:0005886,GO:0016021
TRINITY_DN11065_c0_g2	GO:0004674,GO:0005524,GO:0005886,GO:0016021
TRINITY_DN11067_c0_g1	GO:0005783,GO:0005789,GO:0016021
TRINITY_DN11069_c0_g1	GO:0005576,GO:0080167
TRINITY_DN1106_c0_g1	GO:0003913,GO:0004672,GO:0005524,GO:0005634,GO:0005737,GO:0005829,GO:0006281,GO:0009414,GO:0009583,GO:0009637,GO:0009640,GO:0009785,GO:0009882,GO:0010075,GO:0010118,GO:0010343,GO:0010617,GO:0018298,GO:0042802,GO:0046283,GO:0046777,GO:0051510,GO:0055114
TRINITY_DN11070_c0_g2	GO:0004707,GO:0005524,GO:0005622
TRINITY_DN11070_c0_g3	GO:0004707,GO:0005524,GO:0005622
TRINITY_DN11070_c2_g1	GO:0003676,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0009860,GO:0010500,GO:0046872,GO:1990058
TRINITY_DN11072_c0_g1	GO:0005739,GO:0005747,GO:0005758,GO:0055114
TRINITY_DN11073_c0_g1	GO:0003857,GO:0008691,GO:0019605,GO:0070403
TRINITY_DN11073_c1_g1	GO:0003723,GO:0004521,GO:0005622,GO:0005773,GO:0005783,GO:0010168,GO:0010507,GO:0016075,GO:0033897,GO:0090502
TRINITY_DN11074_c0_g1	GO:0005739,GO:0005743,GO:0015095,GO:0016021,GO:0045016,GO:1903830
TRINITY_DN11075_c0_g1	GO:0005634,GO:0005730,GO:0006364,GO:0008168,GO:0044822
TRINITY_DN11076_c0_g1	GO:0004650,GO:0005975,GO:0016021
TRINITY_DN11077_c0_g1	GO:0006661,GO:0006807,GO:0016151,GO:0048554
TRINITY_DN11079_c1_g1	GO:0006397,GO:0008270,GO:0009507,GO:1900865
TRINITY_DN1107_c0_g1	GO:0005509,GO:0005739,GO:0005773,GO:0005774,GO:0005783,GO:0005789,GO:0005886,GO:0006457,GO:0009505,GO:0009506,GO:0009507,GO:0016020,GO:0016021,GO:0030246
TRINITY_DN1107_c0_g2	GO:0005509,GO:0005739,GO:0005773,GO:0005774,GO:0005783,GO:0005789,GO:0005886,GO:0006457,GO:0009505,GO:0009506,GO:0009507,GO:0016020,GO:0016021,GO:0030246
TRINITY_DN11081_c0_g1	GO:0016491
TRINITY_DN11082_c0_g1	GO:0005829,GO:0008612,GO:0019135,GO:0046872
TRINITY_DN11084_c0_g1	GO:0003677,GO:0004386,GO:0005524,GO:0006281,GO:0016020
TRINITY_DN11085_c0_g2	GO:0000166,GO:0003676,GO:0005634,GO:0005681,GO:0006397,GO:0008380,GO:0016607,GO:0034693
TRINITY_DN11086_c0_g1	GO:0016021
TRINITY_DN11088_c0_g1	GO:0005524,GO:0006952,GO:0007165,GO:0042742,GO:0043531
TRINITY_DN11088_c1_g1	GO:0005524,GO:0005576,GO:0005737,GO:0007165,GO:0009626,GO:0042742,GO:0043531
TRINITY_DN11089_c0_g1	GO:0005634,GO:0005737,GO:0005829,GO:0006486,GO:0006493,GO:0007275,GO:0009736,GO:0009740,GO:0009908,GO:0009938,GO:0016262,GO:0016757,GO:0030154,GO:0048511,GO:2000377
TRINITY_DN11090_c0_g1	GO:0005737,GO:0048312
TRINITY_DN11091_c0_g1	GO:0003676,GO:0004523,GO:0046872
TRINITY_DN11092_c0_g1	GO:0009821,GO:0047203
TRINITY_DN11093_c0_g1	GO:0000139,GO:0002239,GO:0005524,GO:0005737,GO:0005789,GO:0005886,GO:0006952,GO:0007165,GO:0009626,GO:0009817,GO:0030275,GO:0042742,GO:0043531,GO:0050832
TRINITY_DN11094_c0_g1	GO:0004519,GO:0006397,GO:0009507,GO:0016556,GO:0090305
TRINITY_DN11097_c0_g1	GO:0005634,GO:0016567
TRINITY_DN11098_c0_g1	GO:0004402,GO:0005634,GO:0006351,GO:0006355,GO:0008270,GO:0009506,GO:0010385,GO:0042393,GO:0043971,GO:0043972,GO:0044030,GO:0044154,GO:0080188
TRINITY_DN11099_c0_g1	GO:0000139,GO:0001675,GO:0005737,GO:0005793,GO:0005801,GO:0005829,GO:0006886,GO:0006888,GO:0007030,GO:0007338,GO:0012507,GO:0018279,GO:0030134,GO:0043687,GO:0044267,GO:0044822,GO:0046872,GO:0048208,GO:0061024,GO:0070971,GO:0097038
TRINITY_DN1109_c0_g1	GO:0004575,GO:0005773,GO:0005975
TRINITY_DN110_c0_g1	GO:0003747,GO:0005737,GO:0005829,GO:0005886,GO:0006415,GO:0016149,GO:0040008
TRINITY_DN11101_c0_g1	GO:0004353,GO:0004354,GO:0006520
TRINITY_DN11101_c0_g2	GO:0004354,GO:0006520
TRINITY_DN11102_c0_g1	GO:0004601,GO:0005576,GO:0005618,GO:0005773,GO:0006979,GO:0009505,GO:0009506,GO:0016020,GO:0020037,GO:0042744,GO:0046872
TRINITY_DN11102_c0_g2	GO:0004601,GO:0005576,GO:0005618,GO:0005773,GO:0006979,GO:0009505,GO:0009506,GO:0016020,GO:0020037,GO:0042744,GO:0046872
TRINITY_DN11102_c1_g1	GO:0004601,GO:0005576,GO:0005618,GO:0005773,GO:0006979,GO:0009505,GO:0009506,GO:0016020,GO:0020037,GO:0042744,GO:0046872
TRINITY_DN11102_c1_g2	GO:0004601,GO:0005576,GO:0006979,GO:0009505,GO:0009664,GO:0020037,GO:0042744,GO:0046872,GO:0098869
TRINITY_DN11104_c2_g1	GO:0005576,GO:0051118
TRINITY_DN11108_c0_g1	GO:0005739,GO:0008759,GO:0009245,GO:2001289
TRINITY_DN1110_c0_g1	GO:0004497,GO:0005506,GO:0010268,GO:0016021,GO:0016131,GO:0016705,GO:0020037,GO:0040008
TRINITY_DN11110_c0_g1	GO:0005525,GO:0005622,GO:0005886,GO:0007264,GO:0015031
TRINITY_DN11110_c0_g2	GO:0005525,GO:0005622,GO:0005886,GO:0007264,GO:0015031
TRINITY_DN11111_c0_g1	GO:0001891,GO:0005654,GO:0005737,GO:0005886,GO:0005938,GO:0006909,GO:0006972,GO:0008270,GO:0016477,GO:0030036,GO:0030587,GO:0030864,GO:0031252,GO:0042331,GO:0042803,GO:0043052,GO:0045171,GO:0048870,GO:0051015,GO:0060348
TRINITY_DN11116_c0_g1	GO:0005829,GO:0009970,GO:0018826,GO:0019458,GO:0030170,GO:0042631,GO:0051289
TRINITY_DN11117_c0_g1	GO:0005634,GO:0006281,GO:0006974,GO:0007093,GO:0010212,GO:0016180,GO:0032039,GO:0070876
TRINITY_DN11118_c0_g1	GO:0004177,GO:0005783,GO:0005829,GO:0005886,GO:0008270,GO:0009926,GO:0010013,GO:0031090,GO:0042277,GO:0043171,GO:0070006
TRINITY_DN1111_c0_g1	GO:0004722,GO:0005267,GO:0005886,GO:0009788,GO:0009939,GO:0010030,GO:0046872,GO:0048838,GO:1902039
TRINITY_DN11120_c0_g1	GO:0004066,GO:0005829,GO:0006529,GO:0006541,GO:0042803
TRINITY_DN11121_c0_g1	GO:0005525,GO:0005794,GO:0007264,GO:0015031,GO:0016192
TRINITY_DN11122_c1_g1	GO:0004674,GO:0005524,GO:0005576,GO:0005618,GO:0005773,GO:0005886,GO:0006952,GO:0009506,GO:0009737,GO:0010193,GO:0016021,GO:0046777
TRINITY_DN11122_c2_g1	GO:0004674,GO:0005524,GO:0005886,GO:0006468,GO:0006952,GO:0009506,GO:0016021
TRINITY_DN11125_c0_g1	GO:0004842,GO:0005886,GO:0016874
TRINITY_DN11126_c0_g1	GO:0005634,GO:0048511
TRINITY_DN11127_c0_g1	GO:0005215,GO:0005460,GO:0005524,GO:0005774,GO:0005886,GO:0010044,GO:0012506,GO:0015786,GO:0016887
TRINITY_DN11127_c1_g1	GO:0005215,GO:0005524,GO:0005774,GO:0005886,GO:0016887
TRINITY_DN11127_c2_g1	GO:0005215,GO:0005524,GO:0005774,GO:0005886,GO:0016887
TRINITY_DN1112_c0_g1	GO:0005829,GO:0009636,GO:0009813,GO:0016117,GO:0016758,GO:0035251,GO:0042802,GO:0043231,GO:0047893,GO:0050275,GO:0051707,GO:0052696,GO:0080043,GO:0080044
TRINITY_DN11130_c0_g1	GO:0005783,GO:0005789,GO:0005791,GO:0005886,GO:0008233,GO:0009986,GO:0016020,GO:0031625,GO:0033619,GO:0036513,GO:0042500,GO:0042803,GO:0051289,GO:0071458,GO:0071556,GO:1904211
TRINITY_DN11131_c0_g1	GO:0003677,GO:0009507,GO:0010019,GO:0031930
TRINITY_DN11133_c0_g1	GO:0008643,GO:0016021
TRINITY_DN11136_c0_g1	GO:0005789,GO:0005811,GO:0012505,GO:0016021,GO:0020037,GO:0035206,GO:0045610,GO:0046872,GO:0055114
TRINITY_DN11137_c0_g1	GO:0000209,GO:0005524,GO:0005634,GO:0005737,GO:0031625,GO:0043161,GO:0061630
TRINITY_DN11138_c0_g1	GO:0004362,GO:0005737,GO:0009055,GO:0009507,GO:0015035,GO:0016226,GO:0045454,GO:0046872,GO:0051537,GO:0098869
TRINITY_DN11139_c0_g1	GO:0005576,GO:0016788
TRINITY_DN11139_c0_g2	GO:0005576,GO:0016788
TRINITY_DN1113_c0_g1	GO:0005886,GO:0009409,GO:0009414,GO:0009651,GO:0009737,GO:0016021
TRINITY_DN1113_c1_g1	GO:0009409,GO:0009737,GO:0016021,GO:0042538
TRINITY_DN1113_c1_g2	GO:0005886,GO:0009409,GO:0009414,GO:0009651,GO:0009737,GO:0016021
TRINITY_DN1113_c2_g1	GO:0016021
TRINITY_DN11140_c0_g1	GO:0003723,GO:0005634,GO:0005737,GO:0006351,GO:0006355,GO:0009911
TRINITY_DN11141_c0_g1	GO:0000145,GO:0005829,GO:0005886,GO:0006887,GO:0045335,GO:0070062
TRINITY_DN11141_c0_g2	GO:0000145,GO:0005829,GO:0005886,GO:0006887,GO:0045335,GO:0070062
TRINITY_DN11144_c0_g1	GO:0005743,GO:0008137,GO:0016021,GO:0042773,GO:0070469
TRINITY_DN11144_c0_g4	GO:0003735,GO:0005739,GO:0005840,GO:0006412,GO:0019843
TRINITY_DN11144_c0_g5	GO:0005743,GO:0006810,GO:0016021,GO:0017004
TRINITY_DN11144_c0_g8	GO:0008137,GO:0016021,GO:0031966,GO:0042773,GO:0070469
TRINITY_DN11145_c0_g1	GO:0000156,GO:0000160,GO:0005622,GO:0005634,GO:0005737,GO:0006351,GO:0006355,GO:0007623,GO:0009735,GO:0009736,GO:0010114,GO:0010161
TRINITY_DN11145_c0_g2	GO:0000156,GO:0000160,GO:0005634,GO:0005737,GO:0006351,GO:0006355,GO:0007623,GO:0009735,GO:0009736,GO:0010114,GO:0010161
TRINITY_DN11146_c0_g1	GO:0005634
TRINITY_DN11147_c0_g1	GO:0004842,GO:0005777,GO:0005778,GO:0005779,GO:0005829,GO:0006513,GO:0006635,GO:0007031,GO:0008270,GO:0009793,GO:0009853,GO:0010381,GO:0016558
TRINITY_DN11148_c0_g1	GO:0005739
TRINITY_DN11148_c0_g2	GO:0005739,GO:0010182,GO:0080156
TRINITY_DN11148_c1_g1	GO:0005739
TRINITY_DN11151_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN11151_c0_g2	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN11152_c0_g1	GO:0000963,GO:0005739,GO:0009507,GO:0016554,GO:0080156
TRINITY_DN11153_c0_g1	GO:0004674,GO:0005524,GO:0005739,GO:0016021,GO:0031966
TRINITY_DN11154_c0_g1	GO:0003677,GO:0003700,GO:0005886,GO:0006355,GO:0006979,GO:0046872
TRINITY_DN11156_c0_g1	GO:0001510,GO:0005737,GO:0008173,GO:0008650
TRINITY_DN11157_c0_g1	GO:0003735,GO:0005840,GO:0006412,GO:0009507,GO:0019843
TRINITY_DN11159_c0_g1	GO:0005634,GO:0016567
TRINITY_DN1115_c0_g1	GO:0004124,GO:0006535,GO:0009509,GO:0009570,GO:0016740
TRINITY_DN1115_c0_g2	GO:0004124,GO:0006535,GO:0009509,GO:0009570,GO:0016740
TRINITY_DN1115_c0_g3	GO:0004124,GO:0006535,GO:0009509,GO:0009570,GO:0016740
TRINITY_DN1115_c2_g1	GO:0030246
TRINITY_DN11162_c0_g2	GO:0005739
TRINITY_DN11162_c0_g3	GO:0016020
TRINITY_DN11162_c0_g4	GO:0005739
TRINITY_DN11163_c0_g1	GO:0008936,GO:0009737,GO:0019365
TRINITY_DN11164_c0_g1	GO:0000184,GO:0045859
TRINITY_DN11165_c0_g1	GO:0004185,GO:0005576,GO:0005773
TRINITY_DN11168_c0_g1	GO:0009055,GO:0046872
TRINITY_DN11169_c0_g1	GO:0004616,GO:0005739,GO:0005829,GO:0006098,GO:0009506,GO:0009507,GO:0009536,GO:0009570,GO:0009651,GO:0009744,GO:0009749,GO:0009750,GO:0016020,GO:0019521,GO:0046686,GO:0050661
TRINITY_DN1116_c0_g1	GO:0003676,GO:0008270
TRINITY_DN11171_c0_g1	GO:0003735,GO:0005576,GO:0005634,GO:0005840,GO:0006412,GO:0016042,GO:0016298
TRINITY_DN11172_c0_g1	GO:0005524,GO:0006810,GO:0016021,GO:0016887
TRINITY_DN11173_c0_g1	GO:0003735,GO:0006412,GO:0015934
TRINITY_DN11176_c0_g1	GO:0005829,GO:0006107,GO:0006108,GO:0006807,GO:0008270,GO:0009507,GO:0009570,GO:0050152
TRINITY_DN11177_c0_g1	GO:0005777,GO:0008891,GO:0009853,GO:0009854,GO:0010109,GO:0010181,GO:0019048,GO:0042742,GO:0050665,GO:0052852,GO:0052853,GO:0052854
TRINITY_DN11183_c0_g1	GO:0016021,GO:0055085
TRINITY_DN11185_c0_g1	GO:0004190,GO:0005576
TRINITY_DN11185_c1_g1	GO:0004190,GO:0005576
TRINITY_DN11185_c1_g2	GO:0004190,GO:0005576
TRINITY_DN11185_c2_g1	GO:0004190,GO:0005576
TRINITY_DN11186_c0_g2	GO:0005739,GO:0009451,GO:0009507,GO:0010182,GO:0080156
TRINITY_DN11186_c0_g3	GO:0005739,GO:0009451,GO:0009507,GO:0010182,GO:0080156
TRINITY_DN11186_c0_g4	GO:0006397,GO:0009507,GO:0031425
TRINITY_DN11186_c11_g1	GO:0009416,GO:0009451,GO:0009507,GO:0009658,GO:0040007
TRINITY_DN11186_c1_g1	GO:0005739
TRINITY_DN11186_c2_g1	GO:0005739,GO:0009451,GO:0009507,GO:0009793
TRINITY_DN11186_c2_g2	GO:0005739,GO:0010182,GO:0080156
TRINITY_DN11186_c4_g1	GO:0005739,GO:0009451
TRINITY_DN11186_c4_g2	GO:0005739,GO:0009451
TRINITY_DN11187_c0_g1	GO:0004497,GO:0005506,GO:0005789,GO:0016021,GO:0016705,GO:0020037
TRINITY_DN11188_c0_g1	GO:0002764,GO:0004672,GO:0004674,GO:0005524,GO:0005783,GO:0005886,GO:0009626,GO:0010204,GO:0010359,GO:0012505,GO:0016021,GO:0016045,GO:0019199
TRINITY_DN11188_c1_g1	GO:0002764,GO:0004674,GO:0005524,GO:0005886,GO:0009626,GO:0010204,GO:0010359,GO:0012505,GO:0016021,GO:0016045,GO:0019199
TRINITY_DN11189_c0_g1	GO:0005524,GO:0006952,GO:0009414,GO:0009626,GO:0016301,GO:0016310,GO:0042742,GO:0043531,GO:0048046,GO:0051707,GO:0080167
TRINITY_DN11189_c0_g2	GO:0005524,GO:0042742,GO:0043531,GO:0048046
TRINITY_DN11189_c1_g1	GO:0005524,GO:0042742,GO:0043531
TRINITY_DN11192_c0_g1	GO:0005739,GO:0005741,GO:0009536,GO:0015031,GO:0016021
TRINITY_DN11195_c0_g1	GO:0004519,GO:0006397,GO:0009507,GO:0016556,GO:0090305
TRINITY_DN11195_c1_g1	GO:0005739,GO:0010182,GO:0080156
TRINITY_DN11196_c0_g1	GO:0004430,GO:0005524,GO:0043424,GO:0046777,GO:0046854
TRINITY_DN11197_c0_g1	GO:0004028,GO:0004029,GO:0004030,GO:0005783,GO:0006081,GO:0016020
TRINITY_DN11198_c1_g1	GO:0003723,GO:0006397,GO:0009507,GO:0010087,GO:0010305,GO:0010588,GO:0046872,GO:0048366,GO:1900865
TRINITY_DN11198_c2_g1	GO:0005739,GO:0010182,GO:0080156
TRINITY_DN11198_c3_g1	GO:0005739
TRINITY_DN11198_c4_g1	GO:0009507,GO:0031425
TRINITY_DN11198_c5_g1	GO:0005739
TRINITY_DN11199_c0_g2	GO:0000165,GO:0000187,GO:0004674,GO:0004708,GO:0005524,GO:0005634,GO:0005737,GO:0007346,GO:0009611,GO:0009620,GO:0009651,GO:0009693,GO:0009873,GO:0010120,GO:0010150,GO:0030295,GO:0031098,GO:0032147,GO:0045893,GO:0046777
TRINITY_DN111_c0_g1	GO:0005768,GO:0005794,GO:0005802,GO:0009827,GO:0016021,GO:0016413,GO:0030244,GO:0045489,GO:0071554
TRINITY_DN111_c1_g1	GO:0005768,GO:0005794,GO:0005802,GO:0016021,GO:0016413,GO:0071554
TRINITY_DN11201_c0_g1	GO:0000166,GO:0003729,GO:0006397,GO:0009570
TRINITY_DN11202_c0_g1	GO:0006397,GO:0009507,GO:0031425
TRINITY_DN11203_c0_g1	GO:0000160,GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0009639,GO:0010031,GO:0010629,GO:0042752,GO:0048511,GO:0048574
TRINITY_DN11206_c0_g1	GO:0004519,GO:0006397,GO:0009507,GO:0016556,GO:0090305
TRINITY_DN11206_c1_g1	GO:0005739,GO:0010182,GO:0080156
TRINITY_DN1120_c0_g1	GO:0005385,GO:0005886,GO:0006829,GO:0009535,GO:0016021,GO:0071577
TRINITY_DN11210_c0_g1	GO:0005576,GO:0005618,GO:0009664,GO:0016020
TRINITY_DN11213_c0_g1	GO:0000287,GO:0006952,GO:0009507,GO:0010333
TRINITY_DN11215_c0_g1	GO:0004674,GO:0005524,GO:0016021
TRINITY_DN11216_c1_g1	GO:0000287,GO:0005524,GO:0005622,GO:0032957,GO:0047325,GO:0052725,GO:0052726
TRINITY_DN11216_c2_g1	GO:0001786,GO:0005524,GO:0005546,GO:0005547,GO:0005829,GO:0005886,GO:0009827,GO:0009846,GO:0009860,GO:0010314,GO:0016021,GO:0016308,GO:0016324,GO:0032266,GO:0033017,GO:0046488,GO:0046854,GO:0070273,GO:0070300,GO:0080025,GO:0090406
TRINITY_DN11217_c0_g1	GO:0005737
TRINITY_DN11218_c1_g1	GO:0003676,GO:0004386,GO:0005524,GO:0005730,GO:0005829,GO:0016020,GO:0019013,GO:0030529
TRINITY_DN11220_c0_g1	GO:0016787
TRINITY_DN11222_c0_g1	GO:0005622,GO:0006366,GO:0006397,GO:0008270,GO:0016020,GO:0035556,GO:0070063
TRINITY_DN11228_c0_g1	GO:0005829
TRINITY_DN11229_c0_g1	GO:0003735,GO:0005618,GO:0005829,GO:0006412,GO:0009506,GO:0022626,GO:0022627
TRINITY_DN1122_c0_g1	GO:0003700,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN11230_c0_g1	GO:0005886
TRINITY_DN11233_c0_g1	GO:0008270,GO:0016567,GO:0016874
TRINITY_DN11236_c0_g1	GO:0005634,GO:0007049,GO:0051301
TRINITY_DN11237_c0_g1	GO:0005634
TRINITY_DN11238_c0_g1	GO:0004672,GO:0004674,GO:0004712,GO:0005524,GO:0006397,GO:0046777
TRINITY_DN11239_c0_g1	GO:0004674,GO:0005524,GO:0005886,GO:0016021
TRINITY_DN11241_c0_g1	GO:0003950,GO:0006471,GO:0022416,GO:0035220,GO:0090364,GO:0097110
TRINITY_DN11243_c0_g1	GO:0003755,GO:0006457,GO:0009507,GO:0031977,GO:0042277
TRINITY_DN11244_c0_g1	GO:0004000,GO:0005829,GO:0006144,GO:0006154,GO:0009117,GO:0017144,GO:0043101,GO:0044281,GO:0046103,GO:0046872,GO:0055086
TRINITY_DN11248_c0_g1	GO:0004842,GO:0016874
TRINITY_DN11249_c0_g1	GO:0005778,GO:0016021
TRINITY_DN1124_c0_g1	GO:0000103,GO:0005829,GO:0005886,GO:0006457,GO:0006662,GO:0015035,GO:0016671,GO:0034599,GO:0045454,GO:0055114
TRINITY_DN11250_c0_g1	GO:0005794,GO:0006665,GO:0006952,GO:0016021,GO:0016740
TRINITY_DN11253_c0_g1	GO:0000786,GO:0003677,GO:0005730,GO:0005774,GO:0005829,GO:0005886,GO:0006334,GO:0009506,GO:0009507,GO:0009579
TRINITY_DN11254_c0_g1	GO:0004672,GO:0004674,GO:0004712,GO:0005524,GO:0006397,GO:0046777
TRINITY_DN11254_c1_g1	GO:0004672,GO:0004674,GO:0004712,GO:0005524,GO:0006397,GO:0046777
TRINITY_DN11255_c0_g1	GO:0003677,GO:0004386,GO:0005524,GO:0005634,GO:0009506,GO:0016568
TRINITY_DN11257_c0_g1	GO:0000902,GO:0005737,GO:0007010,GO:0008360,GO:0030334,GO:0031616,GO:0051661,GO:0051684
TRINITY_DN11258_c0_g1	GO:0000963,GO:0005739,GO:0009507,GO:0016554,GO:0080156
TRINITY_DN11258_c1_g1	GO:0006397,GO:0009507,GO:0031425
TRINITY_DN11259_c0_g2	GO:0004722,GO:0046872
TRINITY_DN1125_c0_g1	GO:0004222,GO:0005759,GO:0005829,GO:0006518,GO:0009507,GO:0009570,GO:0046686,GO:0046872,GO:0048046
TRINITY_DN11260_c0_g1	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
TRINITY_DN11264_c0_g1	GO:0005783,GO:0005886,GO:0016021
TRINITY_DN11266_c0_g1	GO:0001682,GO:0004526,GO:0005634,GO:0005739,GO:0006397,GO:0008033,GO:0009507,GO:0043144,GO:0090501,GO:0090502
TRINITY_DN11267_c0_g1	GO:0005524,GO:0005634,GO:0005829,GO:0006952,GO:0007165,GO:0010082,GO:0043531
TRINITY_DN1126_c0_g1	GO:0002237,GO:0004674,GO:0005524,GO:0005886,GO:0006468,GO:0009506,GO:0009626,GO:0016021,GO:0042742
TRINITY_DN1126_c6_g1	GO:0004674,GO:0005524,GO:0005886,GO:0016021,GO:0030246
TRINITY_DN11271_c0_g1	GO:0005524,GO:0008559,GO:0016021
TRINITY_DN11273_c0_g1	GO:0003700,GO:0005634,GO:0006351,GO:0009735,GO:0043565
TRINITY_DN11274_c0_g1	GO:0000049,GO:0004825,GO:0005524,GO:0005737,GO:0006431
TRINITY_DN11276_c0_g1	GO:0005524,GO:0005886,GO:0009506,GO:0016021,GO:0042626,GO:0055085
TRINITY_DN11276_c1_g1	GO:0005524,GO:0016021,GO:0042626,GO:0055085
TRINITY_DN1127_c0_g1	GO:0003950
TRINITY_DN11281_c0_g1	GO:0005739,GO:0009451
TRINITY_DN11281_c0_g2	GO:0005739,GO:0009451
TRINITY_DN11281_c1_g1	GO:0005739
TRINITY_DN11281_c2_g1	GO:0005739,GO:0010182,GO:0080156
TRINITY_DN11281_c2_g2	GO:0000963,GO:0005739,GO:0009451,GO:0009507,GO:0016554,GO:0080156
TRINITY_DN11281_c3_g1	GO:0005739,GO:0009451
TRINITY_DN11281_c4_g1	GO:0003723,GO:0006397,GO:0009507,GO:0010087,GO:0010305,GO:0010588,GO:0046872,GO:0048366,GO:1900865
TRINITY_DN11283_c0_g1	GO:0003676,GO:0004003,GO:0004004,GO:0005524,GO:0006281,GO:0006310,GO:0010501
TRINITY_DN11284_c1_g1	GO:0000785,GO:0005634,GO:0007275,GO:0008168,GO:0008270,GO:0016568
TRINITY_DN11285_c0_g1	GO:0005737,GO:0008616,GO:0045454
TRINITY_DN11286_c0_g1	GO:0016758
TRINITY_DN1128_c0_g2	GO:0016020,GO:0070062
TRINITY_DN11290_c0_g1	GO:0004527,GO:0005634,GO:0005737,GO:0006281,GO:0017005
TRINITY_DN11292_c0_g1	GO:0008270,GO:0016491
TRINITY_DN11293_c0_g1	GO:0005215,GO:0006857,GO:0016021
TRINITY_DN11293_c0_g2	GO:0005215,GO:0005886,GO:0006857,GO:0016021
TRINITY_DN11293_c1_g1	GO:0005215,GO:0005886,GO:0006857,GO:0016021
TRINITY_DN11297_c0_g1	GO:0000166,GO:0008242
