comp100009_c0	GO:0004364,GO:0009734
comp139199_c0	GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004519,GO:0005634,GO:0006310,GO:0015074,GO:0046872
comp139202_c0	GO:0003677,GO:0005634,GO:0005730,GO:0006351,GO:0006355,GO:0009723,GO:0042803
comp139203_c0	GO:0004097,GO:0009543,GO:0046148,GO:0046872
comp139204_c0	GO:0005524,GO:0009507,GO:0042026
comp139207_c0	GO:0005381,GO:0005886,GO:0006824,GO:0016021
comp139208_c1	GO:0004656,GO:0005506,GO:0005789,GO:0005794,GO:0016021,GO:0018401,GO:0031418
comp139210_c0	GO:0003723,GO:0004519,GO:0005634,GO:0043565
comp139212_c1	GO:0009507
comp139213_c0	GO:0005765,GO:0005774,GO:0006810,GO:0016021
comp139214_c0	GO:0000139,GO:0004252,GO:0005794,GO:0016021,GO:0016485
comp139217_c0	GO:0005788
comp139218_c0	GO:0003924,GO:0005525,GO:0005789,GO:0016021
comp139218_c1	GO:0003924,GO:0005525,GO:0005789,GO:0016021
comp139219_c0	GO:0004674,GO:0005516,GO:0005524,GO:0005886,GO:0009409,GO:0009631,GO:0010008,GO:0016021
comp139220_c1	GO:0004784,GO:0005737,GO:0046872
comp139228_c2	GO:0016021
comp139229_c0	GO:0005524,GO:0005737,GO:0006457,GO:0006950
comp139231_c0	GO:0005739,GO:0010182,GO:0080156
comp139231_c10	GO:0005739,GO:0010182,GO:0080156
comp139231_c2	GO:0005739
comp139231_c9	GO:0009451,GO:0009507
comp139234_c0	GO:0000103,GO:0004857,GO:0006109,GO:0006457,GO:0006662,GO:0008047,GO:0009507,GO:0009534,GO:0009570,GO:0015035,GO:0016671,GO:0034599,GO:0043085,GO:0043086,GO:0045454,GO:0055114
comp139235_c0	GO:0006636,GO:0009579,GO:0010205,GO:0016021,GO:0016717,GO:0031408,GO:0031969
comp139237_c0	GO:0009813,GO:0016210
comp139237_c2	GO:0009813,GO:0016210
comp139239_c0	GO:0004842,GO:0008270,GO:0009416,GO:0016021,GO:0016567,GO:0016874,GO:0033591
comp139242_c0	GO:0015629,GO:0030042
comp139244_c0	GO:0000462,GO:0005634
comp139245_c0	GO:0006506,GO:0042765
comp139248_c1	GO:0005886,GO:0015103,GO:0015297,GO:0016021,GO:0046685
comp139250_c0	GO:0005634,GO:0008270,GO:0016049,GO:0016874,GO:0016925,GO:0031668,GO:0061665
comp139252_c1	GO:0003993,GO:0005576,GO:0016020,GO:0016311,GO:0046872
comp139253_c0	GO:0005786,GO:0006614,GO:0008312,GO:0045900
comp139255_c0	GO:0005739,GO:0005743,GO:0009507,GO:0010287,GO:0016491,GO:0055114,GO:0071482
comp139257_c0	GO:0003861,GO:0009098,GO:0009507,GO:0009536,GO:0009570,GO:0019761,GO:0046686,GO:0046872,GO:0050486,GO:0051539
comp139257_c1	GO:0004721,GO:0004725,GO:0008138,GO:0030587,GO:0072718
comp139257_c2	GO:0003861,GO:0009098,GO:0009507,GO:0009536,GO:0009570,GO:0019761,GO:0046686,GO:0046872,GO:0050486,GO:0051539
comp139258_c0	GO:0004721,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0006470,GO:0009903,GO:0034613,GO:0046872
comp139259_c0	GO:0000139,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0016021,GO:0016757,GO:0071555
comp139259_c1	GO:0000139,GO:0005634,GO:0016021,GO:0016757,GO:0071555
comp139259_c2	GO:0000139,GO:0016021,GO:0016757,GO:0071555
comp139260_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp139261_c0	GO:0000963,GO:0005739,GO:0009507,GO:0016554,GO:0080156
comp139264_c0	GO:0000307,GO:0005634,GO:0007049,GO:0016538,GO:0045737,GO:0045944,GO:0051301,GO:1901409
comp139265_c0	GO:0004797,GO:0005524,GO:0046872,GO:0071897
comp139266_c0	GO:0004252,GO:0016021
comp139267_c0	GO:0005634,GO:0005737,GO:0008270
comp139269_c0	GO:0003899,GO:0005634,GO:0005730,GO:0005736,GO:0005829,GO:0006360
comp139275_c1	GO:0000786,GO:0003677,GO:0005634,GO:0006334
comp139279_c0	GO:0005525,GO:0005737,GO:0007021,GO:0007264,GO:0009558,GO:0009793,GO:0009960
comp139280_c0	GO:0000166,GO:0003723,GO:0005730,GO:0008270
comp139281_c1	GO:0000155,GO:0004674,GO:0005524,GO:0005622,GO:0005886,GO:0006351,GO:0006355,GO:0009584,GO:0009881,GO:0018298
comp139282_c1	GO:0009055,GO:0046872,GO:0055114
comp139284_c0	GO:0005634,GO:0005737,GO:0005856
comp139286_c0	GO:0003677,GO:0004519,GO:0004527,GO:0005654,GO:0005730,GO:0005739,GO:0006260,GO:0006281,GO:0046872
comp139288_c0	GO:0005886,GO:0015098,GO:0016021
comp139288_c2	GO:0005886,GO:0015098,GO:0016020,GO:0016021
comp139290_c0	GO:0005789,GO:0009813,GO:0010132,GO:0015020,GO:0043231,GO:0047792,GO:0052696,GO:0080043,GO:0080044
comp139293_c2	GO:0003858,GO:0004616,GO:0005829,GO:0006979,GO:0030267,GO:0051287
comp139295_c2	GO:0009543
comp139296_c0	GO:0005975,GO:0006045,GO:0016311,GO:0046380,GO:0050124
comp139299_c1	GO:0005199,GO:0005576,GO:0005618,GO:0007275
comp139300_c0	GO:0005525,GO:0005622,GO:0005886,GO:0007264,GO:0015031
comp139302_c0	GO:0005545,GO:0005794,GO:0005886,GO:0005905,GO:0006897,GO:0030136,GO:0048268
comp139305_c0	GO:0009507,GO:0010038,GO:0070207
comp139308_c2	GO:0005886,GO:0006950,GO:0016208
comp139309_c1	GO:0003729,GO:0005634,GO:0005737,GO:0006457,GO:0008104,GO:0009408,GO:0009644,GO:0010286,GO:0030544,GO:0042030,GO:0042542,GO:0043086,GO:0051131,GO:0051879,GO:0070678
comp139310_c0	GO:0006397,GO:0009507,GO:0031425
comp139310_c1	GO:0003723,GO:0006397,GO:0009507,GO:0010087,GO:0010305,GO:0010588,GO:0046872,GO:0048366,GO:1900865
comp139317_c0	GO:0006636,GO:0016491,GO:0031969
comp139319_c0	GO:0000350,GO:0000389,GO:0000974,GO:0071012,GO:0071013,GO:0071014,GO:0071020
comp139320_c0	GO:0005739,GO:0005743,GO:0009409,GO:0009916,GO:0016021,GO:0031930,GO:0045333,GO:0046872,GO:0070469
comp139321_c0	GO:0009507,GO:0015979,GO:0016491,GO:0016992,GO:0051539,GO:0055114
comp139322_c0	GO:0000166,GO:0000381,GO:0003729,GO:0005654,GO:0005681,GO:0005737,GO:0006397,GO:0008380,GO:0016607,GO:0042981,GO:0044822
comp139324_c0	GO:0006006,GO:0009507,GO:0019253,GO:0047100,GO:0050661,GO:0051287
comp139325_c0	GO:0005524,GO:0005739,GO:0016020,GO:0016021,GO:0042626,GO:0055085
comp139326_c0	GO:0005524,GO:0005774,GO:0005783,GO:0005788,GO:0005794,GO:0009507
comp139327_c0	GO:0003872,GO:0005524,GO:0005737,GO:0046872,GO:0047334
comp139328_c0	GO:0004146,GO:0005524,GO:0005829,GO:0006545,GO:0006730,GO:0009165,GO:0046452,GO:0046654,GO:0050661
comp139329_c0	GO:0003676,GO:0005634,GO:0005737,GO:0008270
comp139332_c0	GO:0005576,GO:0005618,GO:0050832
comp139338_c0	GO:0005769,GO:0005886,GO:0015095,GO:0015693,GO:0016021
comp139343_c0	GO:0000275,GO:0005524,GO:0015986,GO:0015991,GO:0046933
comp139352_c0	GO:0003677,GO:0003899,GO:0005666,GO:0006383,GO:0032728,GO:0045087,GO:0045089,GO:0051607
comp139353_c2	GO:0003677,GO:0005634,GO:0005829,GO:0006351,GO:0006355
comp139355_c0	GO:0005525,GO:0005768,GO:0005794,GO:0007264,GO:0015031,GO:0016004,GO:0016192,GO:0043085
comp139356_c0	GO:0004356,GO:0005524,GO:0005737,GO:0006542
comp139359_c0	GO:0005794,GO:0006810,GO:0008289
comp139360_c0	GO:0005634,GO:0005783,GO:0006338,GO:0006342,GO:0006351,GO:0016575,GO:0032221,GO:0070210,GO:1990483
comp139361_c3	GO:0003743,GO:0005634,GO:0005730,GO:0005829,GO:0009793,GO:0042256,GO:0042273,GO:0043022,GO:0043023,GO:0071215
comp139370_c0	GO:0005773,GO:0005975,GO:0006952,GO:0042973
comp139374_c0	GO:0004177,GO:0005737
comp139375_c0	GO:0003755,GO:0005829,GO:0006457,GO:0042277
comp139377_c0	GO:0008380,GO:0009507,GO:1900865
comp139378_c0	GO:0001843,GO:0003700,GO:0005546,GO:0005576,GO:0005634,GO:0005730,GO:0005737,GO:0005886,GO:0005929,GO:0005930,GO:0006355,GO:0006629,GO:0006935,GO:0007186,GO:0007420,GO:0008081,GO:0008277,GO:0009620,GO:0009738,GO:0009952,GO:0016567,GO:0019899,GO:0021914,GO:0021953,GO:0030424,GO:0030425,GO:0031076,GO:0032403,GO:0035091,GO:0042733,GO:0045879,GO:0048702,GO:0060348,GO:0060434,GO:0060831,GO:0061548,GO:0072372,GO:0097500,GO:0097546,GO:1901621,GO:1903546
comp139379_c0	GO:0005507,GO:0009809,GO:0016722,GO:0046274,GO:0048046,GO:0052716
comp139383_c0	GO:0005783,GO:0005789,GO:0016021,GO:0016192
comp139384_c0	GO:0004748,GO:0005737,GO:0006260,GO:0009186,GO:0046872
comp139385_c0	GO:0005345,GO:0006863,GO:0016020,GO:0016021,GO:1904823
comp139390_c0	GO:0005777,GO:0005783,GO:0016787,GO:0030244,GO:0042372,GO:0048193,GO:0051289
comp139391_c0	GO:0005576,GO:0016042,GO:0016788
comp139394_c0	GO:0004252,GO:0009507
comp139396_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp139397_c0	GO:0004252,GO:0009507,GO:0009534,GO:0009570,GO:0009658,GO:0009840,GO:0009941,GO:0010287
comp139398_c1	GO:0005634,GO:0009637,GO:0009640,GO:0009793,GO:0009845,GO:0009873,GO:0009909,GO:0009933,GO:0010099,GO:0010114,GO:0010162,GO:0010182,GO:0010228,GO:0016567,GO:0019915,GO:0035196,GO:0042752,GO:0048511,GO:0050826
comp139399_c0	GO:0005198,GO:0005739,GO:0016226,GO:0046872,GO:0051536
comp139400_c4	GO:0004674,GO:0005524,GO:0005886,GO:0010075,GO:0016021,GO:0030154,GO:0033612,GO:0043621,GO:0048229,GO:0048437
comp139401_c0	GO:0004842,GO:0016874
comp139402_c0	GO:0005385,GO:0009535,GO:0016021
comp139405_c0	GO:0004722,GO:0046872
comp139406_c0	GO:0003723,GO:0004525,GO:0006396
comp139408_c4	GO:0000082,GO:0000278,GO:0000722,GO:0000723,GO:0000790,GO:0003896,GO:0005634,GO:0005654,GO:0005658,GO:0006269,GO:0006270,GO:0006271,GO:0016020,GO:0032201,GO:0043596,GO:0046872,GO:1902981,GO:1990077
comp139410_c0	GO:0005622,GO:0016021,GO:0035556
comp139417_c1	GO:0005215,GO:0005886,GO:0006807,GO:0006857,GO:0009506,GO:0009705,GO:0015031,GO:0016021,GO:0042936,GO:0042937,GO:0042938,GO:0042939
comp139418_c0	GO:0005739,GO:0010182,GO:0080156
comp139421_c1	GO:0009416,GO:0009523,GO:0009535,GO:0009768,GO:0009941,GO:0010287,GO:0016021,GO:0016168,GO:0018298,GO:0031409
comp139421_c2	GO:0003723,GO:0005739,GO:0006397,GO:0009507,GO:0010087,GO:0010305,GO:0010588,GO:0046872,GO:0048366,GO:1900865
comp139421_c4	GO:0005739,GO:0010182,GO:0080156
comp139421_c6	GO:0009523,GO:0009535,GO:0009765,GO:0016021,GO:0016168,GO:0018298
comp139422_c1	GO:0004842,GO:0005634,GO:0005886,GO:0008270,GO:0009626,GO:0009627,GO:0009697,GO:0009751,GO:0010167,GO:0010337,GO:0016607,GO:0016874,GO:0042742,GO:0043161,GO:0061630,GO:0080021
comp139424_c0	GO:0005634,GO:0006511,GO:0008234,GO:0016579,GO:0036459
comp139433_c0	GO:0003677,GO:0008270
comp139437_c1	GO:0006810,GO:0006979,GO:0009507,GO:0009535,GO:0016021,GO:0031969
comp139439_c0	GO:0005886,GO:0009506,GO:0031225,GO:0046658
comp139444_c0	GO:0005774,GO:0009705,GO:0009733,GO:0015368,GO:0015369,GO:0016021,GO:0030001,GO:0048364,GO:0070588
comp139445_c0	GO:0008380,GO:0009507,GO:1900865
comp139449_c0	GO:0004185,GO:0005576,GO:0005773
comp139449_c1	GO:0004185,GO:0005576,GO:0005773
comp139449_c2	GO:0004185,GO:0005576,GO:0005773
comp139453_c0	GO:0003735,GO:0005840,GO:0006412
comp139455_c1	GO:0003852,GO:0009098
comp139457_c1	GO:0003700,GO:0005634,GO:0006351,GO:0006355
comp139459_c1	GO:0003677,GO:0003680,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0006351,GO:0006355,GO:0043565,GO:0098687
comp139460_c0	GO:0004672,GO:0005524,GO:0005886,GO:0009506,GO:0016021,GO:0016301,GO:0031348,GO:0033612,GO:0042742,GO:0060548
comp139461_c0	GO:0000166,GO:0003677,GO:0003723,GO:0005634,GO:0005737,GO:0005829,GO:0008270,GO:0009409
comp139464_c0	GO:0003677,GO:0003723,GO:0004523,GO:0004527,GO:0005737,GO:0043137,GO:0046872,GO:0090502
comp139467_c0	GO:0005840
comp139469_c0	GO:0003978,GO:0006012,GO:0016021,GO:0032580,GO:0033358,GO:0045227,GO:0050373
comp139471_c0	GO:0003774,GO:0005737,GO:0005874,GO:0006810,GO:0007017,GO:0030286
comp139475_c0	GO:0005739,GO:0016787
comp139477_c0	GO:0000785,GO:0003682,GO:0005085,GO:0005634,GO:0005829,GO:0009411,GO:0009649,GO:0009881,GO:0010224,GO:0018298,GO:0042803,GO:0043547
comp139479_c0	GO:0004553,GO:0005618,GO:0010411,GO:0016762,GO:0042546,GO:0048046,GO:0071555
comp139480_c0	GO:0005634,GO:0006351,GO:0006355
comp139482_c0	GO:0005507,GO:0005576,GO:0016491
comp139482_c3	GO:0005507,GO:0005576,GO:0005618,GO:0005774,GO:0005886,GO:0007049,GO:0009505,GO:0009506,GO:0009932,GO:0016020,GO:0016722,GO:0030995,GO:0031225,GO:0043332,GO:0046379,GO:0046658,GO:0048046,GO:0051118,GO:1904541,GO:1990819
comp139483_c0	GO:0005739,GO:0015992,GO:0016021,GO:0071805
comp139485_c0	GO:0000139,GO:0005525,GO:0005794,GO:0006890,GO:0006891,GO:0007264,GO:0015031,GO:0042147
comp139487_c0	GO:0005524,GO:0005634,GO:0005739,GO:0005773,GO:0005774,GO:0005783,GO:0005788,GO:0005886,GO:0006457,GO:0006950,GO:0009306,GO:0009409,GO:0009414,GO:0009506,GO:0009507,GO:0009651,GO:0009934,GO:0010075,GO:0016020,GO:0046686,GO:0048046
comp139488_c0	GO:0003729,GO:0005849,GO:0006378,GO:0016787,GO:0046872
comp139490_c0	GO:0047995,GO:0051287,GO:0055114
comp139493_c0	GO:0005737,GO:0005886,GO:0005887,GO:0005911,GO:0006833,GO:0007605,GO:0009897,GO:0015250,GO:0015254,GO:0015793,GO:0016021,GO:0016323,GO:0030104,GO:0034220,GO:0070295,GO:0071346
comp139495_c0	GO:0004462,GO:0046872
comp139498_c1	GO:0004029,GO:0005576,GO:0005783
comp139500_c0	GO:0005929,GO:0035091,GO:0061512
comp139503_c1	GO:0000166,GO:0006281,GO:0009507
comp139504_c0	GO:0004177,GO:0008235,GO:0009507,GO:0009570,GO:0030145
comp139506_c0	GO:0000139,GO:0005768,GO:0005794,GO:0005797,GO:0005801,GO:0005802,GO:0010008,GO:0016020,GO:0016021
comp139507_c0	GO:0004592,GO:0005524,GO:0005737,GO:0015940
comp139508_c0	GO:0004519,GO:0006397,GO:0009507,GO:0016556,GO:0090305
comp139511_c0	GO:0006810,GO:0016021
comp139512_c0	GO:0000166,GO:0003723,GO:0005681,GO:0005737,GO:0006397,GO:0008380,GO:0051028
comp139512_c1	GO:0004565,GO:0005773,GO:0005774,GO:0005975,GO:0009505,GO:0030246,GO:0048046
comp139513_c6	GO:0015079,GO:0016020,GO:0016021
comp139519_c0	GO:0005046,GO:0005783,GO:0005789,GO:0006621,GO:0006890,GO:0015031,GO:0016021,GO:0030140
comp139521_c0	GO:0006474,GO:0008080
comp139525_c0	GO:0005975,GO:0030246,GO:0047938
comp139528_c0	GO:0000166,GO:0003723,GO:0005634,GO:0005737,GO:0006281,GO:0009507
comp139529_c0	GO:0005783,GO:0005789,GO:0016021
comp139531_c0	GO:0004834,GO:0005737,GO:0009851,GO:0033984
comp139535_c3	GO:0006633,GO:0006636,GO:0009409,GO:0009507,GO:0009706,GO:0009941,GO:0016021,GO:0016717,GO:0031969,GO:0042170
comp139536_c0	GO:0005886,GO:0016021
comp139539_c0	GO:0000123,GO:0003713,GO:0005634,GO:0006260,GO:0006351,GO:0006355,GO:0006473,GO:0006915,GO:0006978,GO:0007050,GO:0008270,GO:0008285,GO:0016568,GO:0035064,GO:0040008,GO:0043065,GO:0043966,GO:0043981,GO:0043982,GO:0043983,GO:0045892,GO:0045926
comp139543_c0	GO:0004806,GO:0005615,GO:0016042
comp139545_c0	GO:0005739,GO:0009536,GO:0009926,GO:0009941,GO:0010224
comp139546_c0	GO:0009507,GO:0015095,GO:0015693,GO:0016021,GO:0030003,GO:0031969,GO:1903830
comp139548_c0	GO:0000049,GO:0005634,GO:0008176,GO:0036265,GO:0043527
comp139549_c0	GO:0016255,GO:0042765
comp139552_c0	GO:0004526,GO:0005730,GO:0005773,GO:0008033,GO:0009249
comp139554_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp139556_c0	GO:0000723,GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0007389,GO:0009734,GO:0009873,GO:0010073,GO:0010449,GO:0010492,GO:0019827,GO:0048364,GO:0060771,GO:0060772,GO:0060774
comp139557_c1	GO:0005783,GO:0005789,GO:0016021,GO:0016192
comp139559_c0	GO:0003677,GO:0003700,GO:0006351,GO:0006355,GO:0009793,GO:0010262,GO:0016602,GO:0048316,GO:0048510,GO:0055046
comp139560_c0	GO:0000139,GO:0005783,GO:0005829,GO:0006888,GO:0018279,GO:0043687,GO:0044267,GO:0048208,GO:0061024
comp139563_c0	GO:0016567
comp139563_c1	GO:0016567
comp139565_c0	GO:0000150,GO:0000400,GO:0000730,GO:0003690,GO:0003697,GO:0005524,GO:0006312,GO:0006974,GO:0008094,GO:0009570,GO:0010212,GO:0042148
comp139571_c0	GO:0000059,GO:0000060,GO:0005634,GO:0005654,GO:0005737,GO:0005794,GO:0006607,GO:0006610,GO:0008139,GO:0008565,GO:0016020,GO:0031965,GO:0034399,GO:0042307,GO:0043231,GO:0044822,GO:0071230
comp139574_c0	GO:0000427,GO:0006355,GO:0009416,GO:0009507,GO:0009658,GO:0010027,GO:0042793
comp139575_c0	GO:0000815,GO:0005886,GO:0007034,GO:0015031
comp139576_c0	GO:0004674,GO:0005524,GO:0005886,GO:0016021
comp139576_c1	GO:0004674,GO:0005524,GO:0005886,GO:0016021
comp139585_c0	GO:0003700,GO:0005634,GO:0006351,GO:0009585,GO:0043565
comp139587_c0	GO:0004672,GO:0004674,GO:0005524,GO:0009507,GO:0009534,GO:0009579,GO:0042549
comp139587_c1	GO:0004672,GO:0004674,GO:0005524,GO:0009507,GO:0009534,GO:0009579,GO:0042549
comp139588_c1	GO:0009507,GO:0009509,GO:0016117,GO:0016705
comp139589_c0	GO:0004675,GO:0005524,GO:0005768,GO:0005886,GO:0006898,GO:0007178,GO:0010008,GO:0010359,GO:0016020,GO:0016021,GO:0016045,GO:0042742,GO:0052544
comp139590_c2	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp139590_c3	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp139590_c6	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp139592_c2	GO:0003723,GO:0004652,GO:0005524,GO:0005634,GO:0005737,GO:0006378,GO:0043631,GO:0046872
comp139592_c6	GO:0003723,GO:0004652,GO:0005524,GO:0005634,GO:0005737,GO:0006378,GO:0008285,GO:0009908,GO:0043631,GO:0045824,GO:0046872,GO:0048366,GO:0048451
comp139595_c6	GO:0001649,GO:0005730,GO:0016020,GO:0032880,GO:0042981,GO:0044822,GO:2000772
comp139598_c0	GO:0005507,GO:0005509,GO:0005516,GO:0005546,GO:0005547,GO:0005881,GO:0005886,GO:0006499,GO:0008017,GO:0009414,GO:0009506,GO:0010350,GO:0016032,GO:0031117,GO:0035865,GO:0043325,GO:0043622,GO:0046658,GO:0051511,GO:0071219,GO:0071280,GO:0071281,GO:0071286,GO:0071325,GO:0071472,GO:0072709,GO:0080025
comp139601_c3	GO:0005975,GO:0008422
comp139601_c4	GO:0005975,GO:0008422,GO:0009507,GO:0048046
comp139606_c0	GO:0001772,GO:0005743,GO:0005758,GO:0006851,GO:0006874,GO:0007005,GO:0008180,GO:0010876,GO:0010918,GO:0015629,GO:0019897,GO:0032623,GO:0034982,GO:0035710,GO:0042101,GO:0042776,GO:0045121,GO:0050852,GO:0051259,GO:0090297,GO:1900210,GO:1901612,GO:1990046
comp139607_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006281,GO:0006351,GO:0006355,GO:0006952,GO:0009295,GO:0009507,GO:0009508,GO:0009570,GO:0043565,GO:0045893,GO:0050832
comp139610_c0	GO:0003677,GO:0003899,GO:0005634,GO:0006351
comp139611_c0	GO:0016021,GO:0016614,GO:0050614,GO:0050660
comp139612_c0	GO:0005774,GO:0006904,GO:0031902,GO:0043234
comp139615_c0	GO:0004565,GO:0005618,GO:0005975,GO:0030246,GO:0048046
comp139617_c1	GO:0003723,GO:0005634,GO:0005737,GO:0006606,GO:0008565,GO:0061015
comp139618_c1	GO:0008194,GO:0009247,GO:0009507,GO:0009536,GO:0009941,GO:0016021,GO:0016036,GO:0031969,GO:0046506
comp139626_c0	GO:0003700,GO:0005634,GO:0005737,GO:0005829,GO:0006351,GO:0043565
comp139628_c1	GO:0005524,GO:0005737,GO:0006260,GO:0006457,GO:0008270,GO:0009408
comp139630_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0006952,GO:0042803,GO:0045892,GO:0050777,GO:0071219
comp139631_c1	GO:0004315,GO:0006633,GO:0009507,GO:0009570,GO:0033818
comp139632_c0	GO:0003735,GO:0005840,GO:0006412,GO:0008097
comp139633_c0	GO:0005576,GO:0016042,GO:0016788
comp139636_c0	GO:0005634,GO:0043248
comp139640_c1	GO:0001666,GO:0004674,GO:0004712,GO:0005524,GO:0005789,GO:0009686,GO:0009723,GO:0009744,GO:0009750,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:2000035,GO:2000069
comp139640_c2	GO:0001666,GO:0004674,GO:0004712,GO:0005524,GO:0005789,GO:0009686,GO:0009723,GO:0009744,GO:0009750,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:2000035,GO:2000069
comp139640_c3	GO:0001666,GO:0004674,GO:0004712,GO:0005524,GO:0005789,GO:0009686,GO:0009723,GO:0009744,GO:0009750,GO:0009873,GO:0010105,GO:0010182,GO:0046777,GO:0048510,GO:0071281,GO:2000035,GO:2000069
comp139642_c0	GO:0045048,GO:0071818
comp139646_c1	GO:0005783,GO:0005789,GO:0005794,GO:0005886,GO:0016021,GO:0071458,GO:0071782,GO:0071786
comp139650_c0	GO:0008299,GO:0009507,GO:0015979,GO:0046872,GO:0050347,GO:0052923
comp139651_c0	GO:0004427,GO:0016036,GO:0016311,GO:0016462,GO:0016791,GO:0046872,GO:0051262
comp139653_c0	GO:0000139,GO:0016021,GO:0016757,GO:0071555,GO:0080147
comp139659_c1	GO:0000002,GO:0000287,GO:0000723,GO:0000784,GO:0005524,GO:0005657,GO:0005739,GO:0006260,GO:0006281,GO:0006310,GO:0010521,GO:0017116,GO:0032204,GO:0032211,GO:0032508,GO:0033682,GO:0042162,GO:0043141,GO:0044806,GO:0051880,GO:0051974
comp139661_c0	GO:0009507,GO:0009535,GO:0009570,GO:0009571,GO:0009735,GO:0010207
comp139663_c0	GO:0008270,GO:0016567,GO:0016874
comp139668_c0	GO:0003700,GO:0005634,GO:0006351,GO:0043565
comp139671_c0	GO:0005509,GO:0005739,GO:0005773,GO:0005774,GO:0005783,GO:0005788,GO:0006457,GO:0006979,GO:0009506,GO:0009507,GO:0009651,GO:0030246,GO:0046686,GO:0048046
comp139673_c0	GO:0003993,GO:0005886,GO:0005887,GO:0006644,GO:0008195,GO:0046839
comp139675_c0	GO:0006397,GO:0008380,GO:0015030,GO:0016607,GO:0044822,GO:0071013
comp139676_c0	GO:0004190,GO:0005576
comp139677_c0	GO:0005524
comp139678_c0	GO:0005622,GO:0019836,GO:0030169
comp139679_c0	GO:0003735,GO:0005739,GO:0005743,GO:0006412,GO:0009507,GO:0009536,GO:0009706,GO:0009941,GO:0016021,GO:0055085
comp139680_c2	GO:0003677,GO:0003700,GO:0005634,GO:0005737,GO:0006351,GO:0009644,GO:0009962,GO:0016021,GO:0045893
comp139685_c0	GO:0005886,GO:0005975,GO:0006952,GO:0031225,GO:0042973,GO:0046658
comp139686_c0	GO:0000290,GO:0000339,GO:0000932,GO:0006397,GO:0016070
comp139692_c1	GO:0003735,GO:0005840,GO:0006412,GO:0008097
comp139694_c0	GO:0009507,GO:0009523,GO:0009535,GO:0015979,GO:0016021
comp139695_c0	GO:0005506,GO:0008395,GO:0009741,GO:0010268,GO:0016021,GO:0016131,GO:0016705,GO:0020037,GO:0040008
comp139695_c3	GO:0004497,GO:0005506,GO:0008395,GO:0009741,GO:0010268,GO:0016021,GO:0016131,GO:0016705,GO:0020037,GO:0040008
comp139698_c0	GO:0005524
comp139704_c2	GO:0004518,GO:0005634,GO:0043565,GO:0050832,GO:0090305
comp139705_c2	GO:0005737,GO:0005856
comp139711_c1	GO:0005794,GO:0005905,GO:0008565
comp139714_c0	GO:0004497,GO:0005506,GO:0005783,GO:0005789,GO:0010345,GO:0016021,GO:0016705,GO:0020037,GO:0042761,GO:0071555
comp139716_c0	GO:0005886,GO:0016567
comp139718_c0	GO:0000166,GO:0003676,GO:0005681,GO:0006397,GO:0008380,GO:0009644,GO:0016607,GO:0043484
comp139721_c0	GO:0005768,GO:0006885,GO:0010008,GO:0015385,GO:0016021,GO:0032580
comp139727_c0	GO:0009570,GO:0030145,GO:0030604,GO:0051484,GO:0070402
comp139728_c0	GO:0000050,GO:0004053,GO:0005739,GO:0006527,GO:0009507,GO:0030145,GO:0050897
comp139731_c0	GO:0005315,GO:0005886,GO:0009536,GO:0016021,GO:0098656
comp139737_c3	GO:0004176,GO:0004252,GO:0005524,GO:0005737,GO:0006515,GO:0033554,GO:0043565
comp139738_c2	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp139742_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0006952,GO:0042803,GO:0045892,GO:0050777,GO:0071219
comp139743_c0	GO:0003993,GO:0005576,GO:0016311,GO:0046872
comp139749_c2	GO:0005215,GO:0006857,GO:0016021
comp139749_c4	GO:0005215,GO:0005886,GO:0006857,GO:0016021
comp139749_c5	GO:0000325,GO:0005215,GO:0005773,GO:0005774,GO:0005794,GO:0005886,GO:0006807,GO:0006857,GO:0009506,GO:0009705,GO:0015031,GO:0015197,GO:0015334,GO:0015833,GO:0016021,GO:0042936,GO:0042937,GO:0042938,GO:0042939
comp139749_c7	GO:0005215,GO:0006857,GO:0016021
